Category1,Category2,Category3,Category4,Category5,category_id,Item,Licensing,Website,Platform,Description
Big Data,Hadoop,Ingestion,Streaming,,110,Apache Flume,Open Source,http://flume.apache.org/,Java,"Flume is a distributed, reliable, and available service for efficiently collecting, aggregating, and moving large amounts of log data. It has a simple and flexible architecture based on streaming data flows. It is robust and fault tolerant with tunable reliability mechanisms and many failover and recovery mechanisms. It uses a simple extensible data model that allows for online analytic application."
Big Data,Hadoop,Ingestion,Streaming,,110,Apache Storm,Open Source,https://storm.apache.org/,Java,"Apache Storm is a free and open source distributed realtime computation system. Storm makes it easy to reliably process unbounded streams of data, doing for realtime processing what Hadoop did for batch processing. Storm is simple, can be used with any programming language, and is a lot of fun to use. Storm has many use cases: realtime analytics, online machine learning, continuous computation, distributed RPC, ETL, and more. Storm is fast: a benchmark clocked it at over a million tuples processed per second per node. It is scalable, fault-tolerant, guarantees your data will be processed, and is easy to set up and operate."
Big Data,Hadoop,Ingestion,Streaming,,110,Spark Streaming,Open Source,https://spark.apache.org/streaming/,Java,"Spark Streaming brings Spark's language-integrated API to stream processing, letting you write streaming jobs the same way you write batch jobs. It supports Java, Scala and Python"
Big Data,Hadoop,Ingestion,Streaming,,110,RHadoop,Open Source,https://github.com/RevolutionAnalytics/RHadoop/wiki,,"R is a suite of software and programming language for the purpose of data visualization, statistical computations and analysis of data. It has strong graphical capabilities, and is highly extensible with object-oriented features. At its heart, R comes with a command line interpreter and is an interpreted language available for Mac, Windows and Linux machines."
Big Data,Hadoop,Ingestion,Non Streaming,,120,Apache Sqoop,Open Source,http://sqoop.apache.org/,Java,Apache Sqoop(TM) is a tool designed for efficiently transferring bulk data between Apache Hadoop and structured datastores such as relational databases
Big Data,Hadoop,Ingestion,Non Streaming,,120,NFS,Open Source,http://en.wikipedia.org/wiki/Network_File_System,Java,"Network File System (NFS) is a distributed file system protocol originally developed by Sun Microsystems in 1984,[1] allowing a user on a client computer to access files over a network much like local storage is accessed. NFS, like many other protocols, builds on the Open Network Computing Remote Procedure Call (ONC RPC) system"
Big Data,Hadoop,Ingestion,Non Streaming,,120|1450,Kafka,Open Source,http://kafka.apache.org/,Java,Apache Kafka is publish-subscribe messaging rethought as a distributed commit log
Big Data,Hadoop,Ingestion,Non Streaming,,120,Zaloni Bedrock,Commercial,http://www.zaloni.com/bedrock,,Bedrock is the industry leading data management platform that enables customers to quickly and easily realize true Hadoop based Enterprise Data Lakes Significant reduction in time spent and costs associated with data management and data preparation
Big Data,Hadoop,Ingestion,Non Streaming,,120,Apache Falcon,Open Source,http://hortonworks.com/hadoop/falcon/,,"Apache™ Falcon is a framework for simplifying and orchestrating data management and pipeline processing in Apache Hadoop®. It enables automation of data movement and processing for ingest, pipelines, replication and compliance use cases. Falcon also leverages its integration with YARN—the architectural center of Hadoop—to centrally manage the cluster’s data governance, maximize data pipeline reuse and enforce consistent data lifecycles."
Big Data,Hadoop,Processing,,,130,MapReduce,Open Source,http://hadoop.apache.org/,Java,"MapReduce is a programming model for processing and generating large data sets with a parallel, distributed algorithm on a cluster"
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Apache Hive,Open Source,https://hive.apache.org/,Java,The Apache Hive ? data warehouse software facilitates querying and managing large datasets residing in distributed storage. Hive provides a mechanism to project structure onto this data and query the data using a SQL-like language called HiveQL
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Apache Pig,Open Source,https://pig.apache.org/,Java,Pig is a high-level platform for creating MapReduce programs used with Hadoop. The language for this platform is called Pig Latin
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Apache Drill,Open Source,http://drill.apache.org/,Java,"Apache Drill is an open source, low latency SQL query engine for Hadoop and NoSQL."
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Cascading,"Open Source, Commercial",http://www.cascading.org/,Java,"Cascading is a software abstraction layer for Apache Hadoop. Cascading is used to create and execute complex data processing workflows on a Hadoop cluster using any JVM-based language (Java, JRuby, Clojure, etc.), hiding the underlying complexity of MapReduce jobs. It is open source and available under the Apache License. Commercial support is available from Concurrent, Inc"
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Cascalog,Open Source,http://cascalog.org/,Java,"The main use cases for Cascalog are processing ""Big Data"" on top of Hadoop or doing analysis on your local computer. Cascalog is a replacement for tools like Pig, Hive, and Cascading which operates at a significantly higher level of abstraction than those tools."
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Karmasphere,Commercial,http://doc.mapr.com/display/MapR/Karmasphere,,"Karmasphere provides software products for data analysts and data professionals so they can unlock the power of Big Data in Hadoop, opening a whole new world of possibilities to add value to the business. Karmasphere equips analysts with the ability to discover new patterns, relationships, and drivers in any kind of data – unstructured, semi-structured or structured - that were not possible to find before"
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Apache Hue,Open Source,http://gethue.com/,,Hue is an open-source Web interface that supports Apache Hadoop and its ecosystem. Hue aggregates the most common Apache Hadoop components into a single interface and targets the user experience. Its main goal is to have the users just use Hadoop without worrying about the underlying complexity or using a command line
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Rhadoop,Open Source,https://github.com/RevolutionAnalytics/RHadoop/wiki,,"R is a suite of software and programming language for the purpose of data visualization, statistical computations and analysis of data. It has strong graphical capabilities, and is highly extensible with object-oriented features. At its heart, R comes with a command line interpreter and is an interpreted language available for Mac, Windows and Linux machines."
Big Data,Hadoop,Processing,MapReduce,Analytics,140,SQRRL,Commercial,http://sqrrl.com/product/sqrrl-enterprise/,,"Sqrrl is the Big Data Analytics company that lets organizations pinpoint and react to unusual activity by uncovering hidden connections in their data. Sqrrl’s linked data analysis platform gives analysts a way to visually investigate these connections, allowing them to rapidly understand their surrounding contexts and take action - See more at: http://sqrrl.com/product/sqrrl-enterprise/#sthash.GD9h0pLq.dpuf"
Big Data,Hadoop,Processing,MapReduce,Analytics,140,Presto,Open Source,https://prestodb.io/,,Presto is an open source distributed SQL query engine for running interactive analytic queries against data sources of all sizes ranging from gigabytes to petabytes.
Big Data,Hadoop,Processing,MapReduce,Testing,141,MRUnit,Open Source,https://mrunit.apache.org/,Java,Apache MRUnit ™ is a Java library that helps developers unit test Apache Hadoop map reduce jobs
Big Data,Hadoop,Processing,,,130,Spark,Open Source,https://spark.apache.org/,Java,"Apache Spark is an open-source cluster computing framework originally developed in the AMPLab at UC Berkeley. In contrast to Hadoop's two-stage disk-based MapReduce paradigm, Spark's in-memory primitives provide performance up to 100 times faster for certain applications.[1] By allowing user programs to load data into a cluster's memory and query it repeatedly, Spark is well suited to machine learning algorithms"
